index,value,geometry
848,15,"POLYGON ((121.0865464736916 14.63227632418042, 121.0865464736916 14.63317564454415, 121.0874758778613 14.63317564454415, 121.0874758778613 14.63227632418042, 121.0865464736916 14.63227632418042))"
849,16,"POLYGON ((121.0865464736916 14.63317564454415, 121.0865464736916 14.63407496490787, 121.0874758778613 14.63407496490787, 121.0874758778613 14.63317564454415, 121.0865464736916 14.63317564454415))"
850,18,"POLYGON ((121.0865464736916 14.63407496490787, 121.0865464736916 14.6349742852716, 121.0874758778613 14.6349742852716, 121.0874758778613 14.63407496490787, 121.0865464736916 14.63407496490787))"
851,17,"POLYGON ((121.0865464736916 14.6349742852716, 121.0865464736916 14.63587360563532, 121.0874758778613 14.63587360563532, 121.0874758778613 14.6349742852716, 121.0865464736916 14.6349742852716))"
852,13,"POLYGON ((121.0865464736916 14.63587360563532, 121.0865464736916 14.63677292599905, 121.0874758778613 14.63677292599905, 121.0874758778613 14.63587360563532, 121.0865464736916 14.63587360563532))"
853,15,"POLYGON ((121.0865464736916 14.63677292599905, 121.0865464736916 14.63767224636277, 121.0874758778613 14.63767224636277, 121.0874758778613 14.63677292599905, 121.0865464736916 14.63677292599905))"
854,17,"POLYGON ((121.0865464736916 14.63767224636277, 121.0865464736916 14.6385715667265, 121.0874758778613 14.6385715667265, 121.0874758778613 14.63767224636277, 121.0865464736916 14.63767224636277))"
855,19,"POLYGON ((121.0865464736916 14.6385715667265, 121.0865464736916 14.63947088709022, 121.0874758778613 14.63947088709022, 121.0874758778613 14.6385715667265, 121.0865464736916 14.6385715667265))"
856,20,"POLYGON ((121.0865464736916 14.63947088709022, 121.0865464736916 14.64037020745395, 121.0874758778613 14.64037020745395, 121.0874758778613 14.63947088709022, 121.0865464736916 14.63947088709022))"
857,23,"POLYGON ((121.0865464736916 14.64037020745395, 121.0865464736916 14.64126952781767, 121.0874758778613 14.64126952781767, 121.0874758778613 14.64037020745395, 121.0865464736916 14.64037020745395))"
858,25,"POLYGON ((121.0865464736916 14.64126952781767, 121.0865464736916 14.6421688481814, 121.0874758778613 14.6421688481814, 121.0874758778613 14.64126952781767, 121.0865464736916 14.64126952781767))"
859,30,"POLYGON ((121.0865464736916 14.6421688481814, 121.0865464736916 14.64306816854512, 121.0874758778613 14.64306816854512, 121.0874758778613 14.6421688481814, 121.0865464736916 14.6421688481814))"
860,35,"POLYGON ((121.0865464736916 14.64306816854512, 121.0865464736916 14.64396748890885, 121.0874758778613 14.64396748890885, 121.0874758778613 14.64306816854512, 121.0865464736916 14.64306816854512))"
867,43,"POLYGON ((121.0865464736916 14.6493634110912, 121.0865464736916 14.65026273145493, 121.0874758778613 14.65026273145493, 121.0874758778613 14.6493634110912, 121.0865464736916 14.6493634110912))"
868,39,"POLYGON ((121.0865464736916 14.65026273145493, 121.0865464736916 14.65116205181865, 121.0874758778613 14.65116205181865, 121.0874758778613 14.65026273145493, 121.0865464736916 14.65026273145493))"
869,36,"POLYGON ((121.0865464736916 14.65116205181865, 121.0865464736916 14.65206137218238, 121.0874758778613 14.65206137218238, 121.0874758778613 14.65116205181865, 121.0865464736916 14.65116205181865))"
870,31,"POLYGON ((121.0865464736916 14.65206137218238, 121.0865464736916 14.6529606925461, 121.0874758778613 14.6529606925461, 121.0874758778613 14.65206137218238, 121.0865464736916 14.65206137218238))"
871,59,"POLYGON ((121.0865464736916 14.6529606925461, 121.0865464736916 14.65386001290983, 121.0874758778613 14.65386001290983, 121.0874758778613 14.6529606925461, 121.0865464736916 14.6529606925461))"
872,57,"POLYGON ((121.0865464736916 14.65386001290983, 121.0865464736916 14.65475933327355, 121.0874758778613 14.65475933327355, 121.0874758778613 14.65386001290983, 121.0865464736916 14.65386001290983))"
873,61,"POLYGON ((121.0865464736916 14.65475933327355, 121.0865464736916 14.65565865363728, 121.0874758778613 14.65565865363728, 121.0874758778613 14.65475933327355, 121.0865464736916 14.65475933327355))"
898,16,"POLYGON ((121.0874758778613 14.61968583908827, 121.0874758778613 14.62058515945199, 121.088405282031 14.62058515945199, 121.088405282031 14.61968583908827, 121.0874758778613 14.61968583908827))"
899,15,"POLYGON ((121.0874758778613 14.62058515945199, 121.0874758778613 14.62148447981572, 121.088405282031 14.62148447981572, 121.088405282031 14.62058515945199, 121.0874758778613 14.62058515945199))"
900,17,"POLYGON ((121.0874758778613 14.62148447981572, 121.0874758778613 14.62238380017944, 121.088405282031 14.62238380017944, 121.088405282031 14.62148447981572, 121.0874758778613 14.62148447981572))"
901,15,"POLYGON ((121.0874758778613 14.62238380017944, 121.0874758778613 14.62328312054317, 121.088405282031 14.62328312054317, 121.088405282031 14.62238380017944, 121.0874758778613 14.62238380017944))"
902,13,"POLYGON ((121.0874758778613 14.62328312054317, 121.0874758778613 14.62418244090689, 121.088405282031 14.62418244090689, 121.088405282031 14.62328312054317, 121.0874758778613 14.62328312054317))"
903,15,"POLYGON ((121.0874758778613 14.62418244090689, 121.0874758778613 14.62508176127062, 121.088405282031 14.62508176127062, 121.088405282031 14.62418244090689, 121.0874758778613 14.62418244090689))"
904,12,"POLYGON ((121.0874758778613 14.62508176127062, 121.0874758778613 14.62598108163434, 121.088405282031 14.62598108163434, 121.088405282031 14.62508176127062, 121.0874758778613 14.62508176127062))"
905,13,"POLYGON ((121.0874758778613 14.62598108163434, 121.0874758778613 14.62688040199807, 121.088405282031 14.62688040199807, 121.088405282031 14.62598108163434, 121.0874758778613 14.62598108163434))"
906,12,"POLYGON ((121.0874758778613 14.62688040199807, 121.0874758778613 14.62777972236179, 121.088405282031 14.62777972236179, 121.088405282031 14.62688040199807, 121.0874758778613 14.62688040199807))"
907,15,"POLYGON ((121.0874758778613 14.62777972236179, 121.0874758778613 14.62867904272552, 121.088405282031 14.62867904272552, 121.088405282031 14.62777972236179, 121.0874758778613 14.62777972236179))"
908,14,"POLYGON ((121.0874758778613 14.62867904272552, 121.0874758778613 14.62957836308924, 121.088405282031 14.62957836308924, 121.088405282031 14.62867904272552, 121.0874758778613 14.62867904272552))"
909,15,"POLYGON ((121.0874758778613 14.62957836308924, 121.0874758778613 14.63047768345297, 121.088405282031 14.63047768345297, 121.088405282031 14.62957836308924, 121.0874758778613 14.62957836308924))"
910,17,"POLYGON ((121.0874758778613 14.63047768345297, 121.0874758778613 14.6313770038167, 121.088405282031 14.6313770038167, 121.088405282031 14.63047768345297, 121.0874758778613 14.63047768345297))"
911,17,"POLYGON ((121.0874758778613 14.6313770038167, 121.0874758778613 14.63227632418042, 121.088405282031 14.63227632418042, 121.088405282031 14.6313770038167, 121.0874758778613 14.6313770038167))"
912,17,"POLYGON ((121.0874758778613 14.63227632418042, 121.0874758778613 14.63317564454415, 121.088405282031 14.63317564454415, 121.088405282031 14.63227632418042, 121.0874758778613 14.63227632418042))"
913,15,"POLYGON ((121.0874758778613 14.63317564454415, 121.0874758778613 14.63407496490787, 121.088405282031 14.63407496490787, 121.088405282031 14.63317564454415, 121.0874758778613 14.63317564454415))"
914,16,"POLYGON ((121.0874758778613 14.63407496490787, 121.0874758778613 14.6349742852716, 121.088405282031 14.6349742852716, 121.088405282031 14.63407496490787, 121.0874758778613 14.63407496490787))"
915,15,"POLYGON ((121.0874758778613 14.6349742852716, 121.0874758778613 14.63587360563532, 121.088405282031 14.63587360563532, 121.088405282031 14.6349742852716, 121.0874758778613 14.6349742852716))"
916,15,"POLYGON ((121.0874758778613 14.63587360563532, 121.0874758778613 14.63677292599905, 121.088405282031 14.63677292599905, 121.088405282031 14.63587360563532, 121.0874758778613 14.63587360563532))"
917,17,"POLYGON ((121.0874758778613 14.63677292599905, 121.0874758778613 14.63767224636277, 121.088405282031 14.63767224636277, 121.088405282031 14.63677292599905, 121.0874758778613 14.63677292599905))"
918,19,"POLYGON ((121.0874758778613 14.63767224636277, 121.0874758778613 14.6385715667265, 121.088405282031 14.6385715667265, 121.088405282031 14.63767224636277, 121.0874758778613 14.63767224636277))"
919,17,"POLYGON ((121.0874758778613 14.6385715667265, 121.0874758778613 14.63947088709022, 121.088405282031 14.63947088709022, 121.088405282031 14.6385715667265, 121.0874758778613 14.6385715667265))"
920,17,"POLYGON ((121.0874758778613 14.63947088709022, 121.0874758778613 14.64037020745395, 121.088405282031 14.64037020745395, 121.088405282031 14.63947088709022, 121.0874758778613 14.63947088709022))"
921,18,"POLYGON ((121.0874758778613 14.64037020745395, 121.0874758778613 14.64126952781767, 121.088405282031 14.64126952781767, 121.088405282031 14.64037020745395, 121.0874758778613 14.64037020745395))"
922,21,"POLYGON ((121.0874758778613 14.64126952781767, 121.0874758778613 14.6421688481814, 121.088405282031 14.6421688481814, 121.088405282031 14.64126952781767, 121.0874758778613 14.64126952781767))"
923,28,"POLYGON ((121.0874758778613 14.6421688481814, 121.0874758778613 14.64306816854512, 121.088405282031 14.64306816854512, 121.088405282031 14.6421688481814, 121.0874758778613 14.6421688481814))"
924,26,"POLYGON ((121.0874758778613 14.64306816854512, 121.0874758778613 14.64396748890885, 121.088405282031 14.64396748890885, 121.088405282031 14.64306816854512, 121.0874758778613 14.64306816854512))"
925,28,"POLYGON ((121.0874758778613 14.64396748890885, 121.0874758778613 14.64486680927257, 121.088405282031 14.64486680927257, 121.088405282031 14.64396748890885, 121.0874758778613 14.64396748890885))"
926,34,"POLYGON ((121.0874758778613 14.64486680927257, 121.0874758778613 14.6457661296363, 121.088405282031 14.6457661296363, 121.088405282031 14.64486680927257, 121.0874758778613 14.64486680927257))"
929,34,"POLYGON ((121.0874758778613 14.64756477036375, 121.0874758778613 14.64846409072748, 121.088405282031 14.64846409072748, 121.088405282031 14.64756477036375, 121.0874758778613 14.64756477036375))"
930,27,"POLYGON ((121.0874758778613 14.64846409072748, 121.0874758778613 14.6493634110912, 121.088405282031 14.6493634110912, 121.088405282031 14.64846409072748, 121.0874758778613 14.64846409072748))"
931,32,"POLYGON ((121.0874758778613 14.6493634110912, 121.0874758778613 14.65026273145493, 121.088405282031 14.65026273145493, 121.088405282031 14.6493634110912, 121.0874758778613 14.6493634110912))"
932,23,"POLYGON ((121.0874758778613 14.65026273145493, 121.0874758778613 14.65116205181865, 121.088405282031 14.65116205181865, 121.088405282031 14.65026273145493, 121.0874758778613 14.65026273145493))"
933,32,"POLYGON ((121.0874758778613 14.65116205181865, 121.0874758778613 14.65206137218238, 121.088405282031 14.65206137218238, 121.088405282031 14.65116205181865, 121.0874758778613 14.65116205181865))"
934,52,"POLYGON ((121.0874758778613 14.65206137218238, 121.0874758778613 14.6529606925461, 121.088405282031 14.6529606925461, 121.088405282031 14.65206137218238, 121.0874758778613 14.65206137218238))"
935,58,"POLYGON ((121.0874758778613 14.6529606925461, 121.0874758778613 14.65386001290983, 121.088405282031 14.65386001290983, 121.088405282031 14.6529606925461, 121.0874758778613 14.6529606925461))"
936,62,"POLYGON ((121.0874758778613 14.65386001290983, 121.0874758778613 14.65475933327355, 121.088405282031 14.65475933327355, 121.088405282031 14.65386001290983, 121.0874758778613 14.65386001290983))"
937,64,"POLYGON ((121.0874758778613 14.65475933327355, 121.0874758778613 14.65565865363728, 121.088405282031 14.65565865363728, 121.088405282031 14.65475933327355, 121.0874758778613 14.65475933327355))"
938,66,"POLYGON ((121.0874758778613 14.65565865363728, 121.0874758778613 14.656557974001, 121.088405282031 14.656557974001, 121.088405282031 14.65565865363728, 121.0874758778613 14.65565865363728))"
962,15,"POLYGON ((121.088405282031 14.61968583908827, 121.088405282031 14.62058515945199, 121.0893346862006 14.62058515945199, 121.0893346862006 14.61968583908827, 121.088405282031 14.61968583908827))"
963,16,"POLYGON ((121.088405282031 14.62058515945199, 121.088405282031 14.62148447981572, 121.0893346862006 14.62148447981572, 121.0893346862006 14.62058515945199, 121.088405282031 14.62058515945199))"
964,16,"POLYGON ((121.088405282031 14.62148447981572, 121.088405282031 14.62238380017944, 121.0893346862006 14.62238380017944, 121.0893346862006 14.62148447981572, 121.088405282031 14.62148447981572))"
965,16,"POLYGON ((121.088405282031 14.62238380017944, 121.088405282031 14.62328312054317, 121.0893346862006 14.62328312054317, 121.0893346862006 14.62238380017944, 121.088405282031 14.62238380017944))"
966,14,"POLYGON ((121.088405282031 14.62328312054317, 121.088405282031 14.62418244090689, 121.0893346862006 14.62418244090689, 121.0893346862006 14.62328312054317, 121.088405282031 14.62328312054317))"
967,13,"POLYGON ((121.088405282031 14.62418244090689, 121.088405282031 14.62508176127062, 121.0893346862006 14.62508176127062, 121.0893346862006 14.62418244090689, 121.088405282031 14.62418244090689))"
968,10,"POLYGON ((121.088405282031 14.62508176127062, 121.088405282031 14.62598108163434, 121.0893346862006 14.62598108163434, 121.0893346862006 14.62508176127062, 121.088405282031 14.62508176127062))"
969,13,"POLYGON ((121.088405282031 14.62598108163434, 121.088405282031 14.62688040199807, 121.0893346862006 14.62688040199807, 121.0893346862006 14.62598108163434, 121.088405282031 14.62598108163434))"
970,13,"POLYGON ((121.088405282031 14.62688040199807, 121.088405282031 14.62777972236179, 121.0893346862006 14.62777972236179, 121.0893346862006 14.62688040199807, 121.088405282031 14.62688040199807))"
971,11,"POLYGON ((121.088405282031 14.62777972236179, 121.088405282031 14.62867904272552, 121.0893346862006 14.62867904272552, 121.0893346862006 14.62777972236179, 121.088405282031 14.62777972236179))"
972,9,"POLYGON ((121.088405282031 14.62867904272552, 121.088405282031 14.62957836308924, 121.0893346862006 14.62957836308924, 121.0893346862006 14.62867904272552, 121.088405282031 14.62867904272552))"
973,13,"POLYGON ((121.088405282031 14.62957836308924, 121.088405282031 14.63047768345297, 121.0893346862006 14.63047768345297, 121.0893346862006 14.62957836308924, 121.088405282031 14.62957836308924))"
974,14,"POLYGON ((121.088405282031 14.63047768345297, 121.088405282031 14.6313770038167, 121.0893346862006 14.6313770038167, 121.0893346862006 14.63047768345297, 121.088405282031 14.63047768345297))"
975,14,"POLYGON ((121.088405282031 14.6313770038167, 121.088405282031 14.63227632418042, 121.0893346862006 14.63227632418042, 121.0893346862006 14.6313770038167, 121.088405282031 14.6313770038167))"
976,18,"POLYGON ((121.088405282031 14.63227632418042, 121.088405282031 14.63317564454415, 121.0893346862006 14.63317564454415, 121.0893346862006 14.63227632418042, 121.088405282031 14.63227632418042))"
977,16,"POLYGON ((121.088405282031 14.63317564454415, 121.088405282031 14.63407496490787, 121.0893346862006 14.63407496490787, 121.0893346862006 14.63317564454415, 121.088405282031 14.63317564454415))"
978,13,"POLYGON ((121.088405282031 14.63407496490787, 121.088405282031 14.6349742852716, 121.0893346862006 14.6349742852716, 121.0893346862006 14.63407496490787, 121.088405282031 14.63407496490787))"
979,14,"POLYGON ((121.088405282031 14.6349742852716, 121.088405282031 14.63587360563532, 121.0893346862006 14.63587360563532, 121.0893346862006 14.6349742852716, 121.088405282031 14.6349742852716))"
980,16,"POLYGON ((121.088405282031 14.63587360563532, 121.088405282031 14.63677292599905, 121.0893346862006 14.63677292599905, 121.0893346862006 14.63587360563532, 121.088405282031 14.63587360563532))"
981,17,"POLYGON ((121.088405282031 14.63677292599905, 121.088405282031 14.63767224636277, 121.0893346862006 14.63767224636277, 121.0893346862006 14.63677292599905, 121.088405282031 14.63677292599905))"
982,14,"POLYGON ((121.088405282031 14.63767224636277, 121.088405282031 14.6385715667265, 121.0893346862006 14.6385715667265, 121.0893346862006 14.63767224636277, 121.088405282031 14.63767224636277))"
983,16,"POLYGON ((121.088405282031 14.6385715667265, 121.088405282031 14.63947088709022, 121.0893346862006 14.63947088709022, 121.0893346862006 14.6385715667265, 121.088405282031 14.6385715667265))"
984,15,"POLYGON ((121.088405282031 14.63947088709022, 121.088405282031 14.64037020745395, 121.0893346862006 14.64037020745395, 121.0893346862006 14.63947088709022, 121.088405282031 14.63947088709022))"
985,18,"POLYGON ((121.088405282031 14.64037020745395, 121.088405282031 14.64126952781767, 121.0893346862006 14.64126952781767, 121.0893346862006 14.64037020745395, 121.088405282031 14.64037020745395))"
986,20,"POLYGON ((121.088405282031 14.64126952781767, 121.088405282031 14.6421688481814, 121.0893346862006 14.6421688481814, 121.0893346862006 14.64126952781767, 121.088405282031 14.64126952781767))"
987,28,"POLYGON ((121.088405282031 14.6421688481814, 121.088405282031 14.64306816854512, 121.0893346862006 14.64306816854512, 121.0893346862006 14.6421688481814, 121.088405282031 14.6421688481814))"
988,23,"POLYGON ((121.088405282031 14.64306816854512, 121.088405282031 14.64396748890885, 121.0893346862006 14.64396748890885, 121.0893346862006 14.64306816854512, 121.088405282031 14.64306816854512))"
989,25,"POLYGON ((121.088405282031 14.64396748890885, 121.088405282031 14.64486680927257, 121.0893346862006 14.64486680927257, 121.0893346862006 14.64396748890885, 121.088405282031 14.64396748890885))"
990,26,"POLYGON ((121.088405282031 14.64486680927257, 121.088405282031 14.6457661296363, 121.0893346862006 14.6457661296363, 121.0893346862006 14.64486680927257, 121.088405282031 14.64486680927257))"
992,30,"POLYGON ((121.088405282031 14.64666545000003, 121.088405282031 14.64756477036375, 121.0893346862006 14.64756477036375, 121.0893346862006 14.64666545000003, 121.088405282031 14.64666545000003))"
993,24,"POLYGON ((121.088405282031 14.64756477036375, 121.088405282031 14.64846409072748, 121.0893346862006 14.64846409072748, 121.0893346862006 14.64756477036375, 121.088405282031 14.64756477036375))"
994,25,"POLYGON ((121.088405282031 14.64846409072748, 121.088405282031 14.6493634110912, 121.0893346862006 14.6493634110912, 121.0893346862006 14.64846409072748, 121.088405282031 14.64846409072748))"
995,24,"POLYGON ((121.088405282031 14.6493634110912, 121.088405282031 14.65026273145493, 121.0893346862006 14.65026273145493, 121.0893346862006 14.6493634110912, 121.088405282031 14.6493634110912))"
996,24,"POLYGON ((121.088405282031 14.65026273145493, 121.088405282031 14.65116205181865, 121.0893346862006 14.65116205181865, 121.0893346862006 14.65026273145493, 121.088405282031 14.65026273145493))"
997,25,"POLYGON ((121.088405282031 14.65116205181865, 121.088405282031 14.65206137218238, 121.0893346862006 14.65206137218238, 121.0893346862006 14.65116205181865, 121.088405282031 14.65116205181865))"
998,46,"POLYGON ((121.088405282031 14.65206137218238, 121.088405282031 14.6529606925461, 121.0893346862006 14.6529606925461, 121.0893346862006 14.65206137218238, 121.088405282031 14.65206137218238))"
999,43,"POLYGON ((121.088405282031 14.6529606925461, 121.088405282031 14.65386001290983, 121.0893346862006 14.65386001290983, 121.0893346862006 14.6529606925461, 121.088405282031 14.6529606925461))"
1000,54,"POLYGON ((121.088405282031 14.65386001290983, 121.088405282031 14.65475933327355, 121.0893346862006 14.65475933327355, 121.0893346862006 14.65386001290983, 121.088405282031 14.65386001290983))"
1001,58,"POLYGON ((121.088405282031 14.65475933327355, 121.088405282031 14.65565865363728, 121.0893346862006 14.65565865363728, 121.0893346862006 14.65475933327355, 121.088405282031 14.65475933327355))"
1002,59,"POLYGON ((121.088405282031 14.65565865363728, 121.088405282031 14.656557974001, 121.0893346862006 14.656557974001, 121.0893346862006 14.65565865363728, 121.088405282031 14.65565865363728))"
1028,13,"POLYGON ((121.0893346862006 14.62148447981572, 121.0893346862006 14.62238380017944, 121.0902640903703 14.62238380017944, 121.0902640903703 14.62148447981572, 121.0893346862006 14.62148447981572))"
1029,16,"POLYGON ((121.0893346862006 14.62238380017944, 121.0893346862006 14.62328312054317, 121.0902640903703 14.62328312054317, 121.0902640903703 14.62238380017944, 121.0893346862006 14.62238380017944))"
1030,12,"POLYGON ((121.0893346862006 14.62328312054317, 121.0893346862006 14.62418244090689, 121.0902640903703 14.62418244090689, 121.0902640903703 14.62328312054317, 121.0893346862006 14.62328312054317))"
1031,10,"POLYGON ((121.0893346862006 14.62418244090689, 121.0893346862006 14.62508176127062, 121.0902640903703 14.62508176127062, 121.0902640903703 14.62418244090689, 121.0893346862006 14.62418244090689))"
1032,12,"POLYGON ((121.0893346862006 14.62508176127062, 121.0893346862006 14.62598108163434, 121.0902640903703 14.62598108163434, 121.0902640903703 14.62508176127062, 121.0893346862006 14.62508176127062))"
1033,12,"POLYGON ((121.0893346862006 14.62598108163434, 121.0893346862006 14.62688040199807, 121.0902640903703 14.62688040199807, 121.0902640903703 14.62598108163434, 121.0893346862006 14.62598108163434))"
1034,10,"POLYGON ((121.0893346862006 14.62688040199807, 121.0893346862006 14.62777972236179, 121.0902640903703 14.62777972236179, 121.0902640903703 14.62688040199807, 121.0893346862006 14.62688040199807))"
1035,11,"POLYGON ((121.0893346862006 14.62777972236179, 121.0893346862006 14.62867904272552, 121.0902640903703 14.62867904272552, 121.0902640903703 14.62777972236179, 121.0893346862006 14.62777972236179))"
1036,13,"POLYGON ((121.0893346862006 14.62867904272552, 121.0893346862006 14.62957836308924, 121.0902640903703 14.62957836308924, 121.0902640903703 14.62867904272552, 121.0893346862006 14.62867904272552))"
1037,12,"POLYGON ((121.0893346862006 14.62957836308924, 121.0893346862006 14.63047768345297, 121.0902640903703 14.63047768345297, 121.0902640903703 14.62957836308924, 121.0893346862006 14.62957836308924))"
1038,11,"POLYGON ((121.0893346862006 14.63047768345297, 121.0893346862006 14.6313770038167, 121.0902640903703 14.6313770038167, 121.0902640903703 14.63047768345297, 121.0893346862006 14.63047768345297))"
1039,14,"POLYGON ((121.0893346862006 14.6313770038167, 121.0893346862006 14.63227632418042, 121.0902640903703 14.63227632418042, 121.0902640903703 14.6313770038167, 121.0893346862006 14.6313770038167))"
1040,12,"POLYGON ((121.0893346862006 14.63227632418042, 121.0893346862006 14.63317564454415, 121.0902640903703 14.63317564454415, 121.0902640903703 14.63227632418042, 121.0893346862006 14.63227632418042))"
1041,15,"POLYGON ((121.0893346862006 14.63317564454415, 121.0893346862006 14.63407496490787, 121.0902640903703 14.63407496490787, 121.0902640903703 14.63317564454415, 121.0893346862006 14.63317564454415))"
1042,13,"POLYGON ((121.0893346862006 14.63407496490787, 121.0893346862006 14.6349742852716, 121.0902640903703 14.6349742852716, 121.0902640903703 14.63407496490787, 121.0893346862006 14.63407496490787))"
1043,17,"POLYGON ((121.0893346862006 14.6349742852716, 121.0893346862006 14.63587360563532, 121.0902640903703 14.63587360563532, 121.0902640903703 14.6349742852716, 121.0893346862006 14.6349742852716))"
1044,18,"POLYGON ((121.0893346862006 14.63587360563532, 121.0893346862006 14.63677292599905, 121.0902640903703 14.63677292599905, 121.0902640903703 14.63587360563532, 121.0893346862006 14.63587360563532))"
1045,18,"POLYGON ((121.0893346862006 14.63677292599905, 121.0893346862006 14.63767224636277, 121.0902640903703 14.63767224636277, 121.0902640903703 14.63677292599905, 121.0893346862006 14.63677292599905))"
1046,14,"POLYGON ((121.0893346862006 14.63767224636277, 121.0893346862006 14.6385715667265, 121.0902640903703 14.6385715667265, 121.0902640903703 14.63767224636277, 121.0893346862006 14.63767224636277))"
1047,13,"POLYGON ((121.0893346862006 14.6385715667265, 121.0893346862006 14.63947088709022, 121.0902640903703 14.63947088709022, 121.0902640903703 14.6385715667265, 121.0893346862006 14.6385715667265))"
1048,16,"POLYGON ((121.0893346862006 14.63947088709022, 121.0893346862006 14.64037020745395, 121.0902640903703 14.64037020745395, 121.0902640903703 14.63947088709022, 121.0893346862006 14.63947088709022))"
1049,18,"POLYGON ((121.0893346862006 14.64037020745395, 121.0893346862006 14.64126952781767, 121.0902640903703 14.64126952781767, 121.0902640903703 14.64037020745395, 121.0893346862006 14.64037020745395))"
1050,18,"POLYGON ((121.0893346862006 14.64126952781767, 121.0893346862006 14.6421688481814, 121.0902640903703 14.6421688481814, 121.0902640903703 14.64126952781767, 121.0893346862006 14.64126952781767))"
1051,18,"POLYGON ((121.0893346862006 14.6421688481814, 121.0893346862006 14.64306816854512, 121.0902640903703 14.64306816854512, 121.0902640903703 14.6421688481814, 121.0893346862006 14.6421688481814))"
1052,19,"POLYGON ((121.0893346862006 14.64306816854512, 121.0893346862006 14.64396748890885, 121.0902640903703 14.64396748890885, 121.0902640903703 14.64306816854512, 121.0893346862006 14.64306816854512))"
1053,16,"POLYGON ((121.0893346862006 14.64396748890885, 121.0893346862006 14.64486680927257, 121.0902640903703 14.64486680927257, 121.0902640903703 14.64396748890885, 121.0893346862006 14.64396748890885))"
1054,20,"POLYGON ((121.0893346862006 14.64486680927257, 121.0893346862006 14.6457661296363, 121.0902640903703 14.6457661296363, 121.0902640903703 14.64486680927257, 121.0893346862006 14.64486680927257))"
1055,24,"POLYGON ((121.0893346862006 14.6457661296363, 121.0893346862006 14.64666545000003, 121.0902640903703 14.64666545000003, 121.0902640903703 14.6457661296363, 121.0893346862006 14.6457661296363))"
1056,18,"POLYGON ((121.0893346862006 14.64666545000003, 121.0893346862006 14.64756477036375, 121.0902640903703 14.64756477036375, 121.0902640903703 14.64666545000003, 121.0893346862006 14.64666545000003))"
1057,20,"POLYGON ((121.0893346862006 14.64756477036375, 121.0893346862006 14.64846409072748, 121.0902640903703 14.64846409072748, 121.0902640903703 14.64756477036375, 121.0893346862006 14.64756477036375))"
1058,20,"POLYGON ((121.0893346862006 14.64846409072748, 121.0893346862006 14.6493634110912, 121.0902640903703 14.6493634110912, 121.0902640903703 14.64846409072748, 121.0893346862006 14.64846409072748))"
1059,21,"POLYGON ((121.0893346862006 14.6493634110912, 121.0893346862006 14.65026273145493, 121.0902640903703 14.65026273145493, 121.0902640903703 14.6493634110912, 121.0893346862006 14.6493634110912))"
1060,22,"POLYGON ((121.0893346862006 14.65026273145493, 121.0893346862006 14.65116205181865, 121.0902640903703 14.65116205181865, 121.0902640903703 14.65026273145493, 121.0893346862006 14.65026273145493))"
1061,27,"POLYGON ((121.0893346862006 14.65116205181865, 121.0893346862006 14.65206137218238, 121.0902640903703 14.65206137218238, 121.0902640903703 14.65116205181865, 121.0893346862006 14.65116205181865))"
1062,28,"POLYGON ((121.0893346862006 14.65206137218238, 121.0893346862006 14.6529606925461, 121.0902640903703 14.6529606925461, 121.0902640903703 14.65206137218238, 121.0893346862006 14.65206137218238))"
1063,40,"POLYGON ((121.0893346862006 14.6529606925461, 121.0893346862006 14.65386001290983, 121.0902640903703 14.65386001290983, 121.0902640903703 14.6529606925461, 121.0893346862006 14.6529606925461))"
1064,49,"POLYGON ((121.0893346862006 14.65386001290983, 121.0893346862006 14.65475933327355, 121.0902640903703 14.65475933327355, 121.0902640903703 14.65386001290983, 121.0893346862006 14.65386001290983))"
1065,52,"POLYGON ((121.0893346862006 14.65475933327355, 121.0893346862006 14.65565865363728, 121.0902640903703 14.65565865363728, 121.0902640903703 14.65475933327355, 121.0893346862006 14.65475933327355))"
1066,52,"POLYGON ((121.0893346862006 14.65565865363728, 121.0893346862006 14.656557974001, 121.0902640903703 14.656557974001, 121.0902640903703 14.65565865363728, 121.0893346862006 14.65565865363728))"
1067,60,"POLYGON ((121.0893346862006 14.656557974001, 121.0893346862006 14.65745729436473, 121.0902640903703 14.65745729436473, 121.0902640903703 14.656557974001, 121.0893346862006 14.656557974001))"
1092,18,"POLYGON ((121.0902640903703 14.62148447981572, 121.0902640903703 14.62238380017944, 121.09119349454 14.62238380017944, 121.09119349454 14.62148447981572, 121.0902640903703 14.62148447981572))"
1093,17,"POLYGON ((121.0902640903703 14.62238380017944, 121.0902640903703 14.62328312054317, 121.09119349454 14.62328312054317, 121.09119349454 14.62238380017944, 121.0902640903703 14.62238380017944))"
1094,14,"POLYGON ((121.0902640903703 14.62328312054317, 121.0902640903703 14.62418244090689, 121.09119349454 14.62418244090689, 121.09119349454 14.62328312054317, 121.0902640903703 14.62328312054317))"
1095,14,"POLYGON ((121.0902640903703 14.62418244090689, 121.0902640903703 14.62508176127062, 121.09119349454 14.62508176127062, 121.09119349454 14.62418244090689, 121.0902640903703 14.62418244090689))"
1096,9,"POLYGON ((121.0902640903703 14.62508176127062, 121.0902640903703 14.62598108163434, 121.09119349454 14.62598108163434, 121.09119349454 14.62508176127062, 121.0902640903703 14.62508176127062))"
